id,name,category,description,attributes,information_score,created_at,updated_at
1,Task Smartwatch,electronics,Exist month have lawyer newspaper lot. Inside magazine myself article month sell dark tree.,"{""battery_life_hours"": null}",1,2026-04-13 22:19:15.943844,2026-04-13 22:19:15.943848
2,Pressure Smartwatch,electronics,Herself sit mind seven voice learn. Sound never stop church indeed against.,"{""battery_life_hours"": null}",0,2026-04-13 22:19:15.943849,2026-04-13 22:19:15.943849
3,Prepare Smartwatch,electronics,International surface state police court contain tonight daughter. Federal difficult develop none son war.,"{""battery_life_hours"": 68}",2,2026-04-13 22:19:15.943850,2026-04-13 22:19:15.943850
4,Laugh Smartwatch,electronics,Blood unit message book before word. Enjoy person couple Mr water.,"{""battery_life_hours"": null}",0,2026-04-13 22:19:15.943851,2026-04-13 22:19:15.943852
5,Minute Smartwatch,electronics,Car clear along. Section page your last sign.,"{""battery_life_hours"": 52}",1,2026-04-13 22:19:15.943852,2026-04-13 22:19:15.943853
6,Development Smartwatch,electronics,First way election box alone use should. Bad ten single agency sign hundred sometimes. Realize if area sure receive.,"{""battery_life_hours"": null}",1,2026-04-13 22:19:15.943853,2026-04-13 22:19:15.943854
7,Western Smartwatch,electronics,Expert about nice product. Party painting put much turn natural those. Science recently maybe herself citizen.,"{""battery_life_hours"": 33}",2,2026-04-13 22:19:15.943854,2026-04-13 22:19:15.943855
8,Group Smartwatch,electronics,Amount seem table consumer visit but say. Someone kid side possible.,"{""battery_life_hours"": null}",0,2026-04-13 22:19:15.943855,2026-04-13 22:19:15.943856
9,Feeling Smartwatch,electronics,Student according raise they. Sort in century resource which person. Radio often assume pass.,"{""battery_life_hours"": 70}",2,2026-04-13 22:19:15.943856,2026-04-13 22:19:15.943857
10,Hear Smartwatch,electronics,Lose far produce like action your own. Consumer risk radio. Protect focus there phone goal choose drug.,"{""battery_life_hours"": null}",1,2026-04-13 22:19:15.943857,2026-04-13 22:19:15.943858
11,Build,grocery,Establish physical group our contain more wife hard word happen money last.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-13 22:19:15.943858,2026-04-13 22:19:15.943859
12,Rate,grocery,Poor example successful partner treat realize various guy newspaper tax music knowledge ten actually.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",1,2026-04-13 22:19:15.943859,2026-04-13 22:19:15.943860
13,Plant,grocery,Character throughout ten case sell win customer production customer style.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",2,2026-04-13 22:19:15.943860,2026-04-13 22:19:15.943861
14,Leg,grocery,After above even article receive air responsibility grow season study issue leave.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-13 22:19:15.943861,2026-04-13 22:19:15.943862
15,History,grocery,Around on property bit painting second amount white respond music section evidence.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",2,2026-04-13 22:19:15.943862,2026-04-13 22:19:15.943862
16,Clearly,grocery,Game never decide behavior street value soon help discuss part.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",1,2026-04-13 22:19:15.943863,2026-04-13 22:19:15.943863
17,More,grocery,College present government single mean win.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",1,2026-04-13 22:19:15.943864,2026-04-13 22:19:15.943864
18,Public,grocery,Specific toward which beyond make program newspaper.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",1,2026-04-13 22:19:15.943865,2026-04-13 22:19:15.943865
19,Party,grocery,Perhaps consumer hit perhaps under standard reason call citizen hot full.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-13 22:19:15.943866,2026-04-13 22:19:15.943866
20,Off,grocery,Address letter leave thank call control.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-13 22:19:15.943867,2026-04-13 22:19:15.943867
21,Gas,grocery,Standard Mr back score assume someone program.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",1,2026-04-13 22:19:15.943868,2026-04-13 22:19:15.943869
22,Modern,grocery,Moment wife company instead seat well under manage trip travel central low lot.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-13 22:19:15.943869,2026-04-13 22:19:15.943870
23,Future,grocery,Entire activity suddenly view road along program I remember personal argue knowledge.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-13 22:19:15.943870,2026-04-13 22:19:15.943870
24,Scientist,grocery,Audience must name film tonight then response explain hope.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",1,2026-04-13 22:19:15.943871,2026-04-13 22:19:15.943871
25,Market,grocery,Admit industry western exist day truth across film production whom language discover.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",2,2026-04-13 22:19:15.943872,2026-04-13 22:19:15.943872
